IDTARJETA,TIPO,NUMERO,MONTO,MONEDA
1,americanexpress,201706666682710,10000,Yuan Renminbi
2,diners-club-carte-blanche,201706666682710,10000,Peso
3,jcb,201706666682710,10000,Zloty
4,maestro,201706666682710,10000,Kuna
5,americanexpress,201706666682710,10000,Rupiah
6,jcb,201706666682710,10000,Rupiah
7,mastercard,201706666682710,10000,Euro
8,china-unionpay,201706666682710,10000,Yen
9,jcb,201706666682710,10000,Dinar
10,bankcard,201706666682710,10000,Yuan Renminbi
11,jcb,201706666682710,10000,Zloty
12,diners-club-carte-blanche,201706666682710,10000,Yuan Renminbi
13,jcb,201706666682710,10000,Euro
14,jcb,201706666682710,10000,Yuan Renminbi
15,jcb,201706666682710,10000,Peso
16,maestro,201706666682710,10000,Peso
17,china-unionpay,201706666682710,10000,Euro
18,instapayment,201706666682710,10000,Rupiah
19,laser,201706666682710,10000,Zloty
20,jcb,201706666682710,10000,Peso
21,laser,201706666682710,10000,Yuan Renminbi
22,mastercard,201706666682710,10000,Rial
23,jcb,201706666682710,10000,Dollar
24,china-unionpay,201706666682710,10000,Koruna
25,switch,201706666682710,10000,Euro
26,jcb,201706666682710,10000,Rupiah
27,visa-electron,201706666682710,10000,Real
28,jcb,201706666682710,10000,Franc
29,diners-club-enroute,201706666682710,10000,Euro
30,jcb,201706666682710,10000,Yuan Renminbi
31,americanexpress,201706666682710,10000,Koruna
32,jcb,201706666682710,10000,Euro
33,maestro,201706666682710,10000,Ruble
34,mastercard,201706666682710,10000,Zloty
35,jcb,201706666682710,10000,Peso
36,visa,201706666682710,10000,Peso
37,americanexpress,201706666682710,10000,Lek
38,visa,201706666682710,10000,Ruble
39,visa-electron,201706666682710,10000,Dinar
40,jcb,201706666682710,10000,Shilling
41,bankcard,201706666682710,10000,Real
42,jcb,201706666682710,10000,Dollar
43,jcb,201706666682710,10000,Euro
44,switch,201706666682710,10000,Yuan Renminbi
45,diners-club-carte-blanche,201706666682710,10000,Rupiah
46,visa,201706666682710,10000,Peso
47,jcb,201706666682710,10000,Euro
48,jcb,201706666682710,10000,Shilling
49,jcb,201706666682710,10000,Zloty
50,visa,201706666682710,10000,Rupiah
51,jcb,201706666682710,10000,Peso
52,instapayment,201706666682710,10000,Rupiah
53,china-unionpay,201706666682710,10000,Won
54,bankcard,201706666682710,10000,Won
55,americanexpress,201706666682710,10000,Dollar
56,americanexpress,201706666682710,10000,Yuan Renminbi
57,maestro,201706666682710,10000,Peso
58,laser,201706666682710,10000,Koruna
59,bankcard,201706666682710,10000,Rupiah
60,jcb,201706666682710,10000,Yen
61,jcb,201706666682710,10000,Bolivar
62,jcb,201706666682710,10000,Euro
63,jcb,201706666682710,10000,Euro
64,solo,201706666682710,10000,Dollar
65,jcb,201706666682710,10000,Peso
66,maestro,201706666682710,10000,Yuan Renminbi
67,diners-club-carte-blanche,201706666682710,10000,Rupiah
68,laser,201706666682710,10000,Dollar
69,jcb,201706666682710,10000,Euro
70,maestro,201706666682710,10000,Yuan Renminbi
71,jcb,201706666682710,10000,Rupiah
72,laser,201706666682710,10000,Krone
73,jcb,201706666682710,10000,Yuan Renminbi
74,mastercard,201706666682710,10000,Real
75,bankcard,201706666682710,10000,Rupiah
76,switch,201706666682710,10000,Yuan Renminbi
77,visa-electron,201706666682710,10000,Dinar
78,visa-electron,201706666682710,10000,Euro
79,mastercard,201706666682710,10000,Zloty
80,diners-club-enroute,201706666682710,10000,Rupiah
81,mastercard,201706666682710,10000,Rupiah
82,instapayment,201706666682710,10000,Yen
83,switch,201706666682710,10000,Dong
84,visa-electron,201706666682710,10000,Franc
85,jcb,201706666682710,10000,Euro
86,switch,201706666682710,10000,Yuan Renminbi
87,china-unionpay,201706666682710,10000,Dollar
88,jcb,201706666682710,10000,Euro
89,jcb,201706666682710,10000,Yuan Renminbi
90,jcb,201706666682710,10000,Dirham
91,bankcard,201706666682710,10000,Peso
92,americanexpress,201706666682710,10000,Rupiah
93,jcb,201706666682710,10000,Rupiah
94,mastercard,201706666682710,10000,Rupiah
95,visa,201706666682710,10000,Yuan Renminbi
96,jcb,201706666682710,10000,Krona
97,americanexpress,201706666682710,10000,Afghani
98,maestro,201706666682710,10000,Ruble
99,china-unionpay,201706666682710,10000,Ruble
100,americanexpress,201706666682710,10000,Euro
101,mastercard,201706666682710,10000,Rupiah
102,americanexpress,201706666682710,10000,Peso
103,jcb,201706666682710,10000,Shekel
104,jcb,201706666682710,10000,Euro
105,jcb,201706666682710,10000,Yuan Renminbi
